[2025-08-18 15:53:50] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=578, Nome=Mic Pod Hub, Tipo=Hub, Marca=Logitech, Modelo=Mic Pod | Status: sucesso
[2025-08-18 16:02:46] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=578, Nome=Mic Pod Hub, Tipo=Hub, Marca=Logitech, Modelo=Mic Pod | Status: sucesso
[2025-08-18 16:47:59] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=579, Nome=Fonte Alimentação Table Hub, Tipo=Fonte, Marca=Logitech, Modelo=Table Hub | Status: sucesso
[2025-08-18 16:48:18] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=579, Nome=Fonte Alimentação, Tipo=Fonte, Marca=Logitech, Modelo=Table Hub | Status: sucesso
[2025-08-18 16:49:40] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=580, Nome=Fonte Alimentação, Tipo=Fonte, Marca=Logitech, Modelo=Display Hub | Status: sucesso
[2025-08-19 08:29:20] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=579, Nome=Fonte Table Hub, Tipo=Fonte, Marca=Logitech, Modelo=Table Hub | Status: sucesso
[2025-08-19 08:29:34] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=580, Nome=Fonte Display Hub, Tipo=Fonte, Marca=Logitech, Modelo=Display Hub | Status: sucesso
[2025-08-19 09:12:21] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=581, Nome=Fonte Tap, Tipo=Fonte, Marca=Logitech, Modelo=TAP | Status: sucesso
[2025-08-19 09:56:00] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=582, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Universal, Modelo=Chromebox | Status: sucesso
[2025-08-19 11:07:44] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=583, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Universal, Modelo=Chromebox | Status: sucesso
[2025-08-19 11:14:43] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=584, Nome=Fonte Meetup, Tipo=Fonte, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-08-19 11:43:45] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=585, Nome=Fonte Meetup, Tipo=Fonte, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-08-19 11:44:13] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=586, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-08-19 11:45:30] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=587, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-08-19 11:45:36] Usuario: admin_wh | Acao: EXCLUIR_EQUIPAMENTO | Detalhes: Equipamento excluído: ID=587, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-08-19 11:45:52] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=586, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Universal, Modelo=Chromebox | Status: sucesso
[2025-08-19 11:52:46] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=588, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Universal, Modelo=Chromebox | Status: sucesso
[2025-08-19 11:53:06] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=589, Nome=Fonte Alimentação Table Hub, Tipo=Fonte, Marca=Logitech, Modelo=Table Hub | Status: sucesso
[2025-08-19 11:54:06] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=590, Nome=Fonte Alimentação Display Hub, Tipo=Fonte, Marca=Logitech, Modelo=Display Hub | Status: sucesso
[2025-08-19 11:58:06] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=589, Nome=Fonte Alimentação Table Hub, Tipo=Fonte, Marca=Logitech, Modelo=Table Hub | Status: sucesso
[2025-08-19 12:47:31] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=591, Nome=Fonte Chromebox, Tipo=Fonte, Marca=Universal, Modelo=Chromebox | Status: sucesso
[2025-08-19 12:48:04] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=592, Nome=Fonte Alimentação Table Hub, Tipo=Fonte, Marca=Logitech, Modelo=Table Hub | Status: sucesso
